id,title,text,url,wiki_id,views,paragraph_id,langs,text_length,word_count,prompt_token_count,cl_1,cl_2,cl_3,cl_4,cl_5,cl_LS
783405,Altersfreigabe,"Gemäß ORF-Gesetz sowie gemäß dem für Privatsender geltenden Privatfernsehgesetz ist bei Fernsehsendungen, welche die körperliche, geistige oder sittliche Entwicklung von Minderjährigen beeinträchtigen können, durch die Wahl der Sendezeit oder sonstige Maßnahmen dafür zu sorgen, dass diese Sendungen von Minderjährigen üblicherweise nicht gesehen oder gehört werden. Die unverschlüsselte Ausstrahlung von nicht kinder- und jugendtauglichen Sendungen ist durch akustische Zeichen anzukündigen oder durch optische Mittel während der gesamten Sendung kenntlich zu machen.",https://de.wikipedia.org/wiki?curid=139448,139448,818.4334716796875,22,31,568,70,1582,"Es gibt Regeln für Fernsehsendungen. Manche Sendungen sind nicht gut für Kinder. Deshalb gibt es eine spezielle Zeit, wann diese Sendungen gezeigt werden. So können Kinder sie nicht sehen. Manchmal gibt es ein Zeichen für solche Sendungen.","Im Fernsehgesetz steht, dass bestimmte Sendungen nicht für Kinder geeignet sind. Diese Sendungen dürfen erst zu einer Zeit gesendet werden, wenn Kinder normalerweise nicht zuschauen. Es gibt auch besondere Zeichen, die am Bildschirm zeigen, dass eine Sendung nicht für Kinder geeignet ist.","Laut dem ORF-Gesetz und dem Gesetz für private Fernsehsender müssen TV-Programme, die für Kinder schädlich sein könnten, zu Zeiten ausgestrahlt werden, zu denen Kinder gewöhnlich nicht fernsehen. Außerdem müssen solche Sendungen durch akustische oder optische Signale gekennzeichnet werden.","Gemäß den gesetzlichen Bestimmungen, sowohl des ORF-Gesetzes als auch des Privatfernsehgesetzes, müssen Fernsehsendungen, die potenziell nachteilig für die Entwicklung von Minderjährigen sein könnten, so geplant werden, dass sie außerhalb der üblichen Sehzeiten von Kindern liegen. Zusätzlich ist eine Kennzeichnung durch akustische oder optische Hilfsmittel während der Sendung erforderlich.","Nach den Bestimmungen des ORF-Gesetzes sowie des entsprechenden Gesetzes für private Rundfunkanbieter ist bei der Ausstrahlung von Fernsehprogrammen, die eine potenziell negative Wirkung auf die körperliche, geistige oder moralische Entwicklung von Minderjährigen haben könnten, sicherzustellen, dass diese in Sendezeiten erfolgen, in denen üblicherweise keine Minderjährigen zuschauen. Ferner ist vorgeschrieben, dass die Ausstrahlung solcher Inhalte durch akustische oder visuelle Mittel kenntlich zu machen ist, um die Erkennbarkeit der Eignung dieser Inhalte für verschiedene Altersgruppen zu gewährleisten.","Es gibt ein Gesetz für das Fernsehen.
Das Gesetz schützt Kinder und Jugendliche.
Manche Sendungen sind nicht gut für Kinder.
Diese Sendungen kommen spät am Abend.
Diese Sendungen haben ein Warn-Zeichen.
Das Warn-Zeichen kann ein Ton sein.
Das Warn-Zeichen kann auch ein Bild sein.
Ein kleines Bild bleibt die ganze Sendung sichtbar.
Das Gesetz gilt für alle Fernseh-Sender.
Die Fernseh-Sender müssen sich an die Regeln halten."
251309,Panzerfaust 3,"1978 erhielt die damalige Dynamit-Nobel AG den Entwicklungsauftrag, 1986 begannen die ersten Truppenversuche, 1992 wurde schließlich die Panzerfaust 3 offiziell eingeführt.",https://de.wikipedia.org/wiki?curid=1227992,1227992,1398.645263671875,2,17,172,21,1483,"Die Firma Dynamit-Nobel AG machte eine besondere Aufgabe schon im Jahr 1978. Sie entwickelte eine neue Panzerfaust. Das ist eine Waffe für das Militär. Die Soldaten begannen 1986, sie auszuprobieren. 1992 durften sie die Panzerfaust dann benutzen.","1978 bekam die Firma Dynamit-Nobel AG den Auftrag, eine neue Waffe, die Panzerfaust 3, zu entwickeln. 1986 begannen die ersten Tests mit Truppen. 1992 wurde diese Waffe dann offiziell vom Militär eingeführt.","Im Jahr 1978 wurde die Dynamit-Nobel AG beauftragt, ein neues Waffensystem, die Panzerfaust 3, zu entwickeln. Nachdem 1986 erste Feldversuche mit Truppen durchgeführt wurden, führte das Militär die Panzerfaust 1992 schlussendlich offiziell ein.","Die Dynamit-Nobel AG erhielt 1978 den offiziellen Entwicklungsauftrag für die Panzerfaust 3, eine leistungsstarke Anti-Panzer-Waffe. Die ersten realen Einsatztests mit dieser Waffe begannen 1988 und nach ausführlichen Erprobungen und Optimierungen bis 1992 wurde die Panzerfaust 3 schließlich in den militärischen Dienst aufgenommen.","1978 erteilte man der Dynamit-Nobel AG den Entwicklungsvertrag für die Panzerfaust 3, ein Anti-Panzer-Waffensystem. Infolge intensiver Forschungs- und Entwicklungsphasen begannen 1986 die ersten Feldevaluierungen zusammen mit Militäreinheiten. Die endgültige Integration und Indienststellung im deutschen Heer erfolgte schließlich 1992.","Die Firma Dynamit-Nobel AG bekommt im Jahr 1978 einen Auftrag.
Die Firma solle eine neue Waffe entwickeln.
Die Waffe heißt Panzerfaust 3.
Im Jahr 1986 testen Soldaten die neue Waffe.
Im Jahr 1992 wird die Waffe offiziell eingeführt."
701856,Disenchantment,"Der jähzornige und dennoch liebevolle König von Dreamland, der von der Bevölkerung gefürchtet und zugleich gefeiert wird. Er kam an die Macht, nachdem sein älterer Bruder ermordet wurde. Er ist in zweiter Ehe verheiratet, nachdem seine erste Frau, die Mutter von Bean, versteinert wurde.",https://de.wikipedia.org/wiki?curid=10414490,10414490,879.6292114257812,8,36,287,44,1517,"Der König von Dreamland ist manchmal sehr wütend, aber auch lieb. Die Leute haben ein bisschen Angst vor ihm, aber sie mögen ihn auch. Der König wurde Chef, nachdem sein großer Bruder nicht mehr lebte. Jetzt ist er zum zweiten Mal verheiratet. Seine erste Frau wurde zu Stein.","In Dreamland gibt es einen König, der schnell wütend wird, aber dennoch sehr lieb sein kann. Die Menschen fürchten ihn, feiern ihn aber auch. Er wurde König, nachdem sein älterer Bruder ermordet wurde. Seine zweite Ehefrau ist die aktuelle Königin, da seine erste Frau, Beans Mutter, zu Stein verwandelt wurde.","Der König von Dreamland, der für seinen Jähzorn bekannt ist, wird gleichzeitig von seinen Untertanen gefürchtet und verehrt. Er kam an die Macht, indem er seinem ermordeten älteren Bruder nachfolgte. Derzeit ist er in seiner zweiten Ehe verheiratet, nachdem seine erste Frau, die Mutter seiner Tochter Bean, zu Stein geworden ist.","Der König von Dreamland ist eine ambivalente Figur, bekannt für seine abrupten Wutausbrüche und dennoch eine liebevolle Persönlichkeit. Die Bevölkerung erlebt sowohl Furcht als auch Bewunderung für ihn. Sein Aufstieg zum König erfolgte nach dem tragischen Mord an seinem älteren Bruder. Er hat erneut geheiratet, nachdem tragische Umstände seine erste Frau, Beans Mutter, in Stein verwandelten.","Der monarchische Führer von Dreamland, der trotz seiner Neigung zu plötzlichen Zornesausbrüchen als liebevolle Persönlichkeit beschrieben wird, steht sowohl im Fokus von Furcht als auch von Verehrung der Bevölkerung. Seine Machtübernahme erfolgte nach dem gewaltsamen Tod seines Vorgängers, seines älteren Bruders. Der König vollzog eine zweite Heirat, nachdem seine erste Gemahlin, die Mutter seiner Tochter Bean, petrifiziert wurde.","Der Text geht um den König von Dreamland.
Die Menschen haben oft Angst vor dem König.
Die Menschen mögen den König aber auch.
Der König wird schnell wütend.
Der König zeigt auch viel Liebe.
Der König hatte einen großen Bruder.
Der Bruder war früher König.
Aber jemand hat den Bruder getötet.
Der König war 2 Mal verheiratet.
Seine 1. Frau ist die Mutter von Bean.
Aber die 1. Frau wurde versteinert.
Jetzt hat der König eine neue Frau."
167417,Verschwörungstheorie,"Neben einer solchen geringen Selbstwirksamkeit und der Wahrnehmung, keine Kontrolle über relevante Entwicklungen zu haben, erwies sich in den Untersuchungen der amerikanischen Politikwissenschaftler Joseph E. Uscinski und Joseph M. Parent der Bildungsgrad als signifikanter Faktor bei der Wahrscheinlichkeit, an Verschwörungstheorien zu glauben: Während etwa 40 % der Probanden ohne High-School-Abschluss eine hohe Neigung dazu aufwiesen, an Verschwörungstheorien zu glauben, war der entsprechende Anteil von Personen mit einem Hochschulabschluss ""(Postgraduates)"" deutlich unter 30 %.",https://de.wikipedia.org/wiki?curid=33628,33628,1591.0882568359375,120,82,585,73,1592,"Manche Leute glauben an Verschwörungstheorien. Das sind Ideen, dass etwas geheim passiert. Forscher sagen: Menschen mit wenig Schulbildung glauben öfter an diese Theorien. Menschen mit viel Schulbildung glauben weniger daran.","Studien in Amerika zeigen, dass Menschen, die nicht viel Schule hatten, eher an Verschwörungstheorien glauben. Das sind Theorien, die sagen, dass irgendwelche geheimen Dinge passieren. Etwa 40% der Menschen ohne High-School-Abschluss glauben daran, aber weniger als 30% der Menschen mit einem Hochschulabschluss glauben daran.","Forschungen von amerikanischen Politikwissenschaftlern zeigen, dass Bildungsniveau eine wichtige Rolle dabei spielt, ob Menschen an Verschwörungstheorien glauben. Die Studien von Joseph E. Uscinski und Joseph M. Parent fanden heraus, dass etwa 40% der Menschen ohne High-School-Abschluss dazu neigen, an Verschwörungstheorien zu glauben, während der Anteil bei Menschen mit Hochschulabschluss unter 30% liegt.","Studien von den Politikwissenschaftlern Joseph E. Uscinski und Joseph M. Parent in den USA haben ergeben, dass das Bildungsniveau signifikant beeinflusst, wie wahrscheinlich es ist, dass jemand an Verschwörungstheorien glaubt. Etwa 40% der Personen ohne High-School-Abschluss zeigen eine hohe Neigung, diesen Theorien Glauben zu schenken, im Vergleich zu weniger als 30% bei Postgraduierten.","In den empirischen Untersuchungen der Politikwissenschaftler Joseph E. Uscinski und Joseph M. Parent zum Zusammenhang zwischen Bildungsniveau und der Akzeptanz von Verschwörungstheorien, wurde evident, dass das Bildungsniveau als ein signifikanter Prädiktor für die Prädisposition zu Verschwörungstheorien fungiert. Die Daten illustrieren, dass circa 40% der Respondenten ohne High-School-Diplom eine hohe Affinität zu Verschwörungstheorien aufweisen, im Gegensatz zu weniger als 30% derjenigen mit einem postgradualen Abschluss.","2 Forscher aus Amerika haben eine Studie gemacht.
Die Forscher haben Menschen befragt.
Die Forscher wollten wissen:
Wer glaubt an Verschwörungs-Theorien?

Die Forscher haben wichtige Dinge herausgefunden:
Viele Menschen fühlen sich macht-los.
Diese Menschen denken:
Sie können nichts ändern.
Diese Menschen glauben eher an Verschwörungs-Theorien.

Die Bildung ist auch sehr wichtig.
40 von 100 Menschen ohne Schul-Abschluss glauben an Verschwörungs-Theorien.
Bei den Menschen mit Uni-Abschluss sind das weniger."
705534,Mehrzweckkampfflugzeug,"Das erste so bezeichnete Kampfflugzeug ist der Panavia Tornado, der – je nach Ausstattung und Bewaffnung – als Jagdbomber, Jagdaufklärer oder Luftüberlegenheitsjäger eingesetzt werden kann. Um die alternde Lockheed F-104 zu ersetzen, schlossen sich zahlreiche Nutzerländer zusammen und initiierten das ""multirole aircraft (MRA)""-Programm, das später zum ""multirole combat aircraft"" umbenannt wurde und zur Gründung der Panavia Aircraft GmbH (mit deutscher, italienischer, niederländischer und britischer Beteiligung) im Jahre 1969 führte.",https://de.wikipedia.org/wiki?curid=875859,875859,877.5647583007812,1,34,538,69,1578,"Es gibt ein Flugzeug namens Panavia Tornado. Es kann auf viele Arten verwendet werden. Leute aus verschiedenen Ländern haben zusammen ein neues Programm gestartet, weil ein altes Flugzeug nicht mehr gut war. Das war im Jahr 1969.","Der Panavia Tornado ist ein spezielles Flugzeug, das man auf verschiedene Weisen nutzen kann. Es wurde entwickelt, um ein älteres Flugzeug, die Lockheed F-104, zu ersetzen. Viele Länder haben sich 1969 zusammengeschlossen, um dieses neue Flugzeug zu bauen.","Der Panavia Tornado war das erste Flugzeug, das für verschiedene militärische Aufgaben eingesetzt werden konnte, wie zum Beispiel als Jagdbomber oder Aufklärungsflugzeug. Verschiedene Länder arbeiteten gemeinsam an der Entwicklung dieses Flugzeugs, um die veraltete Lockheed F-104 zu ersetzen. Dies führte zur Gründung der Panavia Aircraft GmbH im Jahr 1969.","Der Panavia Tornado repräsentiert das erste sogenannte Mehrzweckkampfflugzeug, das je nach Konfiguration in verschiedenen militärischen Rollen eingesetzt werden kann, beispielsweise als Jagdbomber oder Aufklärer. Um die veraltete Lockheed F-104 zu ersetzen, initiierten mehrere Nutzerländer ein Entwicklungsvorhaben, das im Jahr 1969 zur Gründung der Panavia Aircraft GmbH führte, an der Deutschland, Italien, die Niederlande und Großbritannien beteiligt waren.","Das Konzept des ersten designierten Mehrzweckkampfflugzeugs manifestierte sich im Panavia Tornado, einer variabel einsetzbaren Luftfahrzeugplattform, die je nach Konfiguration die Funktionen eines Jagdbombers, Aufklärers oder Luftüberlegenheitsjägers erfüllen kann. Zur Ablösunsch des überalterten Modells Lockheed F-104 initiierten verschiedene teilnehmende Staaten ein Entwicklungsprogramm, das ursprünglich als 'multirole aircraft (MRA)' deklariert und später in 'multirole combat aircraft' umbenannt wurde. Diese multinationalen Bemühungen mündeten 1969 in der Gründung der Panavia Aircraft GmbH, eine Kooperation zwischen Deutschland, Italien, den Niederlanden und Großbritannien.","Der Panavia Tornado ist ein Kampf-Flugzeug.
Der Tornado kann viele Aufgaben erfüllen:
 - Der Tornado kann andere Flugzeuge angreifen.
 - Er kann aus der Luft Informationen sammeln.
 - Er kann Bomben abwerfen.

Die alten Flugzeuge waren nicht mehr gut.
Deshalb wollten mehrere Länder ein neues Flugzeug bauen.
Die Länder haben zusammen einen Plan gemacht.
Deshalb haben sie im Jahr 1969 die Firma Panavia Aircraft GmbH gegründet.
4 Länder haben bei Panavia mitgemacht:
 - Deutschland
 - Italien
 - Niederlande
 - Großbritannien"
391890,Autonome Region Kurdistan,"Fällt ein arbeitsfreier Tag auf einen Freitag oder Samstag, dann wird der folgende Werktag als arbeitsfreier Tag deklariert.",https://de.wikipedia.org/wiki?curid=3240627,3240627,1183.9278564453125,105,85,124,18,1462,"Ein Werktag ist ein Tag an dem man arbeitet. An manchen Tagen muss man nicht arbeiten. Diese Tage nennt man arbeitsfreie Tage. Wenn Freitag oder Samstag ein arbeitsfreier Tag ist, hat man auch am nächsten Werktag frei.","Fällt ein arbeitsfreier Tag wie ein Feiertag auf einen Freitag oder Samstag, so wird der nächste normale Arbeitstag auch als arbeitsfrei erklärt.","Wenn ein Feiertag auf einen Freitag oder Samstag fällt, wird der darauf folgende Werktag zum arbeitsfreien Tag bestimmt.","Trifft ein Feiertag auf einen Freitag oder Samstag, so wird der nächste reguläre Arbeitstag als arbeitsfreier Tag festgelegt.","Fällt ein gesetzlicher Feiertag auf einen Freitag oder Samstag, so wird der nachfolgend reguläre Arbeitstag offiziell als arbeitsfrei deklariert.","An manchen Tagen muss man nicht arbeiten.
Auch wenn der Tag ein Arbeits-Tag ist.
Dann ist der Tag arbeits-frei.
Ein arbeitsfreier Tag kann ein Freitag sein.
Oder er kann ein Samstag sein.
Dann ist der nächste Arbeits-Tag arbeits-frei."
439355,Oliver Petszokat,"Am 16. April 2015 war er Gast im Podcast ""DAS PODCAST UFO."" Im Mai 2015 nahm er an der VOX-Sendung ""Grill den Henssler"" teil. Zudem trat er mehrmals im Neo Magazin Royale als Gast auf. In der Serie Einstein, Staffel 2 Folge 8 („Kompression“) hatte er einen Auftritt als Bankräuber. Außerdem trat er Ende 2020 sowie 2021 in der Sat.1-Sendung ""Buchstaben Battle"" an.",https://de.wikipedia.org/wiki?curid=663452,663452,1124.895263671875,17,5,364,63,1551,Er war im Jahr 2015 im Podcast und im Fernsehen. Dann war er in einer Kochsendung. Er ist oft im Fernsehen. Einmal spielte er in einer Serie einen Bankräuber. Er war auch in einer Spielshow.,Im April 2015 war er zu Besuch in einem Podcast namens 'DAS PODCAST UFO'. Im selben Jahr trat er in der TV-Show 'Grill den Henssler' auf. Er war mehrfach Gast im 'Neo Magazin Royale'. In einer Serie namens 'Einstein' spielte er einen Bankräuber. Ende 2020 und 2021 nahm er an der Show 'Buchstaben Battle' teil.,Im April 2015 war er zu Gast im Podcast 'DAS PODCAST UFO' und trat wenig später in der VOX-Sendung 'Grill den Henssler' auf. Er erschien auch mehrmals als Gast im 'Neo Magazin Royale'. In einer Folge der Serie 'Einstein' übernahm er die Rolle eines Bankräubers. Außerdem war er Ende 2020 und 2021 Teilnehmer bei der Sat.1 Show 'Buchstaben Battle'.,"Im April 2015 erschien er als Gast im Podcast 'DAS PODCAST UFO'. Im Mai desselben Jahres war er Teilnehmer bei der Kochsendung 'Grill den Henssler' auf VOX. Zusätzlich hatte er mehrere Auftritte im 'Neo Magazin Royale', einer beliebten Satiresendung. In der zweiten Staffel der Serie 'Einstein' spielte er in der Episode 'Kompression' einen Bankräuber. Weiterhin trat er Ende 2020 und 2021 in der Quizshow 'Buchstaben Battle' auf Sat.1 auf.","Im Frühjahr 2015 partizipierte er in kulturellen und medialen Veranstaltungen, darunter im Podcast 'DAS PODCAST UFO' und wenig später in der Koch-Competition 'Grill den Henssler'. Seine Medienpräsenz setzte sich mit mehrfachen Gastauftritten im 'Neo Magazin Royale' fort. In der dramatischen Serie 'Einstein' verkörperte er in der achten Episode der zweiten Staffel (betitelt 'Kompression') die Rolle eines Bankräubers. Später, Ende 2020 und 2021, engagierte er sich in der Sat.1-Spielshow 'Buchstaben Battle'.","Die Person war am 16.4.2015 bei einem Podcast.
Der Name von dem Podcast ist ""DAS PODCAST UFO"".

Im Mai 2015 war die Person im Fernseh-Programm VOX.
Die Person war in der Sendung ""Grill den Henssler"".

Die Person war auch mehrmals bei ""Neo Magazin Royale"".

Die Person hat in einer Fernseh-Serie mitgespielt.
Die Serie heißt ""Einstein"".
Die Person spielt in der Serie einen Bank-Räuber.

Die Person war auch im Fernseh-Programm SAT.1.
Die Person war Ende 2020 in der Sendung ""Buchstaben Battle"".
Und 2021 war sie noch einmal in der Sendung."
128174,Neandertaler,"Die Gründe für das Aussterben der Neandertaler sind umstritten. Archäologische Belege für kriegerische Handlungen zwischen Neandertalern und anatomisch modernen Menschen gibt es ebenso wenig wie Anzeichen für eine sehr rasche Verdrängung der Neandertaler durch den anatomisch modernen Menschen. Im Gegenteil: Bard et al. (2020) wiesen nach, dass Neandertaler und anatomisch moderner Mensch für etwa 3960 ± 710 Jahre gemeinsam in Europa existierten.",https://de.wikipedia.org/wiki?curid=10869,10869,1720.775146484375,93,105,448,62,1548,"Es ist nicht genau klar, warum die Neandertaler nicht mehr da sind. Die Neandertaler und die Menschen von heute haben viele Jahre zusammen gelebt.","Man weiß nicht genau, warum die Neandertaler ausgestorben sind. Es gibt keine Beweise dafür, dass Neandertaler und frühe moderne Menschen gekämpft haben. Forscher haben herausgefunden, dass Neandertaler und moderne Menschen einige Tausend Jahre zur gleichen Zeit in Europa lebten.","Die genauen Ursachen für das Aussterben der Neandertaler sind noch immer ein Thema der Debatte. Es gibt keine archäologischen Beweise für direkte Kämpfe zwischen Neandertalern und modernen Menschen. Stattdessen haben Studien gezeigt, dass beide Gruppen etwa 4000 Jahre lang gemeinsam in Europa existierten.","Die Faktoren, die zum Verschwinden der Neandertaler führten, sind vielschichtig und nicht vollständig geklärt. Archäologische Funde stützen nicht die Hypothese von kriegerischen Auseinandersetzungen mit anatomisch modernen Menschen. Forschungsergebnisse, wie von Bard et al. (2020) publiziert, dokumentieren, dass Neandertaler und der moderne Mensch rund 4000 Jahre lang koexistierten.","Die Gründe für das Aussterben der Neandertaler bleiben in der wissenschaftlichen Gemeinschaft umstritten. Aktuelle archäologische Evidenzen entkräften die These gewaltsamer Konflikte zwischen Neandertalern und anatomisch modernen Menschen. Vielmehr belegen Forschungsarbeiten wie jene von Bard et al. (2020), dass eine Koexistenz beider Spezies in Europa über einen Zeitraum von etwa 3960 ± 710 Jahren hinweg stattfand.","Heute gibt es keine Neandertaler mehr.
Sondern nur noch moderne menschen.
Die Neandertaler und die modernen Menschen haben gleichzeitig gelebt.
Sie haben etwa 4000 Jahre zusammen gelebt.
Das haben Forscher im Jahr 2020 herausgefunden.

Aber dann sind die Neandertaler ausgestorben.
Wieso sind die Neandertaler ausgestorben?
Darüber haben Forscher verschiedene Meinungen.

Neandertaler und moderne Menschen haben NICHT miteinander gekämpft.
Die modernen Menschen haben die Neandertaler auch NICHT vertrieben."
731955,Synchronmaschine,"Die Weiterentwicklung der Synchronmaschine hing stark mit dem Ausbau der elektrischen Energieversorgung im Rahmen der Elektrifizierung und dem Bedarf von immer leistungsstärkeren Generatoren zusammen. Zuerst entstanden Einzelpol- beziehungsweise Schenkelpolmaschinen, da diese geeignet waren, mit den langsamlaufenden Kolbendampfmaschinen als Antriebsmaschine Elektrizität zu erzeugen. Als die Dampfturbinen die Kolbendampfmaschinen ersetzten, kamen die schnelllaufenden walzenförmigen Vollpolläufer zum Einsatz.",https://de.wikipedia.org/wiki?curid=12690,12690,856.4306030273438,5,6,512,55,1580,"Früher gab es große Maschinen, die Strom gemacht haben. Diese Maschinen liefen langsam und passten gut zu großen Dampfmaschinen. Dann wurden neue schnellere Maschinen gebaut, die mit Dampfturbinen liefen und noch mehr Strom machen konnten.","Die Entwicklung der großen Strommaschinen passierte zusammen mit dem Stromnetzausbau. Zuerst gab es Maschinen, die langsam liefen und gut mit großen alten Dampfmaschinen zusammenarbeiteten, um Strom zu machen. Später, als schnellere Dampfturbinen benutzt wurden, baute man schnelle zylinderförmige Maschinen, die gut mit ihnen funktionierten.","Die Verbesserung der Synchronmaschinen war eng mit der Erweiterung der elektrischen Energieversorgung verbunden. Anfänglich wurden Einzelpol- und Schenkelpolmaschinen entwickelt, die optimal mit den langsamen Kolbendampfmaschinen zur Stromerzeugung eingesetzt wurden. Mit dem Aufkommen der Dampfturbinen wurden dann schnellere, walzenförmige Generatoren eingeführt.","Die Entwicklung der Synchronmaschinen korrelierte stark mit den Fortschritten in der Elektrifizierung und dem wachsenden Bedarf an leistungsfähigeren Generatoren. Ursprünglich kamen Einzelpol- und Schenkelpolmaschinen zum Einsatz, die mit den langsameren Kolbendampfmaschinen Strom produzieren konnten. Als jedoch die effizienteren Dampfturbinen eingeführt wurden, wechselte man zu schnelllaufenden Vollpolläufern, die eine höhere Leistung erbrachten.","Die Evolution der Synchronmaschine resultierte direkt aus den Imperativen der Elektrifizierung und der Notwendigkeit, leistungsfähigere Stromgeneratoren zu entwickeln. Die anfängliche Etablierung von Einzelpol- respektive Schenkelpolmaschinen, die konzipiert waren, um effektiv mit den bestehenden langsamlaufenden Kolbendampfmaschinen zur Elektrizitätserzeugung zu interagieren, wurde durch das Aufkommen von Dampfturbinen revidiert. Dies führte zur Integration von schnelllaufenden, walzenförmigen Vollpolläufern, um den gestiegenen Leistungsanforderungen gerecht zu werden.","Das schwere Wort für gleichzeitig ist: synchron.
Die Synchron-Maschine macht Strom.
Die Menschen brauchen immer mehr Strom.
Deshalb müssen die Maschinen besser werden.

Zuerst gab es Schenkelpol-Maschinen.
Die Schenkelpol-Maschinen arbeiten mit Dampf-Maschinen.
Die Schenkelpol-Maschinen drehen sich langsam.

Dann gab es neue Dampf-Maschinen.
Die neuen Dampf-Maschinen waren Dampf-Turbinen.
Die Dampf-Turbinen drehen sich schnell.
Deshalb braucht man neue Synchron-Maschinen.
Die neuen Maschinen sehen aus wie Walzen."
55004,Kuba,"Letztendlich dürften die hohen offiziellen Wachstumsraten seit der Jahrtausendwende hauptsächlich den hohen Subventionen aus Venezuela und dem bis 2008 hohen Nickelpreis geschuldet sein. Julio Borges benannte den Umfang der Subventionen aus Venezuela mit 35 Milliarden Dollar innerhalb von 15 Jahren, zu deren Höchststand sie laut Carmelo Mesa-Lago 12 Prozent des Bruttoinlandproduktes erreichten. Im privaten Konsum der Kubaner kam das Wirtschaftswachstum jedoch kaum an.",https://de.wikipedia.org/wiki?curid=7842,7842,2045.2901611328125,142,253,472,63,1560,"Viele Länder helfen einander mit Geld. Venezuela hat Kuba viel Geld gegeben. Das hat dazu geführt, dass es Kuba einige Jahre lang besser ging. Doch das meiste Geld ist nicht bei den normalen Leuten angekommen.","In den letzten Jahren hat Kuba wirtschaftlich gut abgeschnitten. Dies liegt hauptsächlich an Geldern, die ihnen von Venezuela gegeben wurden, sowie an einem hohen Preis für Nickel bis 2008. Ein Politiker sagte, dass dies insgesamt 35 Milliarden Dollar waren. Aber die gewöhnlichen Bürger Kubas haben kaum von diesem Wirtschaftswachstum profitiert.",Die wirtschaftliche Leistung Kubas seit der Jahrtausendwende scheint vor allem durch umfangreiche finanzielle Unterstützungen aus Venezuela und hohe Nickelpreise bis 2008 beeinflusst worden zu sein. Laut Julio Borges beliefen sich diese Subventionen auf 35 Milliarden Dollar über 15 Jahre. Auf dem Höhepunkt machten diese finanziellen Zuwendungen 12 Prozent des Bruttoinlandproduktes aus. Trotzdem spürten die kubanischen Bürger wenig von diesem Wachstum in ihrem Alltagskonsum.,"Die beachtlichen Wachstumsraten Kubas seit Anfang des 21. Jahrhunderts sind größtenteils den erheblichen Subventionen Venezuelas zuzuschreiben, die zusammen mit den hohen Nickelpreisen bis 2008 eine wesentliche Rolle spielten. Der Politiker Julio Borges hat die Summe dieser Subventionen auf 35 Milliarden Dollar innerhalb von 15 Jahren beziffert, und zu Spitzenzeiten erreichten sie 12 Prozent des Bruttoinlandsprodukts, wie der Ökonom Carmelo Mesa-Lago berichtete. Dennoch hat dieser wirtschaftliche Aufschwung kaum den privaten Konsum der kubanischen Bevölkerung erreicht.","Die signifikanten offiziellen Wachstumsraten Kubas seit der Jahrtausendwende lassen sich maßgeblich auf substantielle finanzielle Zuwendungen Venezuelas und den anhaltend hohen Nickelpreis bis zum Jahr 2008 zurückführen. Diese Einschätzung wird gestützt durch Angaben von Julio Borges, der die Gesamthöhe der Subventionen auf 35 Milliarden Dollar über einen Zeitraum von 15 Jahren beziffert. Im Kontext der wirtschaftlichen Leistungsfähigkeit Kubas repräsentierten diese Zuwendungen zeitweise bis zu 12 Prozent des Bruttoinlandproduktes, so der Wirtschaftswissenschaftler Carmelo Mesa-Lago. Trotz dieses bemerkenswerten makroökonomischen Aufschwungs blieb eine spürbare Verbesserung des privaten Konsums innerhalb der kubanischen Bevölkerung weitgehend aus.","Kuba bekommt viel Geld von Venezuela.
Venezuela gibt 35 Milliarden Dollar an Kuba.
Venezuela macht das 15 Jahre lang.
Außerdem war der Nickel-Preis bis 2008 sehr hoch.
Deswegen ist die Wirtschaft in Kuba gewachsen.
Aber die Menschen in Kuba haben das nur wenig gemerkt."
