id,title,text,url,wiki_id,views,paragraph_id,langs,text_length,word_count,prompt_token_count,original_paraphrase,corrected_paraphrase,complexity_level,removed_info,added_info,corrected_info,adjusted_complexity,corrected_language,hallucination_in_origin,LLM_judge_content_preservation,LLM_judge_information_loss,LLM_judge_information_addition,LLM_judge_type_of_addition,LLM_judge_complexity_level
251309,Panzerfaust 3,"1978 erhielt die damalige Dynamit-Nobel AG den Entwicklungsauftrag, 1986 begannen die ersten Truppenversuche, 1992 wurde schließlich die Panzerfaust 3 offiziell eingeführt.",https://de.wikipedia.org/wiki?curid=1227992,1227992,1398.645263671875,2,17,172,21,1483,"Die Firma machte eine besondere Aufgabe schon im Jahr 1978. Sie entwickelte eine neue Panzerfaust. Das ist eine Waffe für das Militär. Die Soldaten begannen 1986, sie auszuprobieren. 1992 durften sie die Panzerfaust dann benutzen.","Die Firma Dynamit-Nobel AG machte eine besondere Aufgabe schon im Jahr 1978. Sie entwickelte eine neue Panzerfaust. Das ist eine Waffe für das Militär. Die Soldaten begannen 1986, sie auszuprobieren. 1992 durften sie die Panzerfaust dann benutzen.",1,False,True,False,False,False,False,ungefaehr,haeufig,manchmal,"['Erklaerungen/Definitionen', 'Faktisch_korrekte_Informationen']",zu_einfach
167417,Verschwörungstheorie,"Neben einer solchen geringen Selbstwirksamkeit und der Wahrnehmung, keine Kontrolle über relevante Entwicklungen zu haben, erwies sich in den Untersuchungen der amerikanischen Politikwissenschaftler Joseph E. Uscinski und Joseph M. Parent der Bildungsgrad als signifikanter Faktor bei der Wahrscheinlichkeit, an Verschwörungstheorien zu glauben: Während etwa 40 % der Probanden ohne High-School-Abschluss eine hohe Neigung dazu aufwiesen, an Verschwörungstheorien zu glauben, war der entsprechende Anteil von Personen mit einem Hochschulabschluss ""(Postgraduates)"" deutlich unter 30 %.",https://de.wikipedia.org/wiki?curid=33628,33628,1591.0882568359375,120,82,585,73,1592,"Manche Leute glauben an Verschwörungstheorien. Das sind Ideen, dass etwas geheim passiert. Forscher haben herausgefunden, dass Menschen, die nicht so viel Schule gemacht haben, öfter an diese Theorien glauben. Wenn man mehr in der Schule lernt, glaubt man weniger oft daran.","Manche Leute glauben an Verschwörungstheorien. Das sind Ideen, dass etwas geheim passiert. Forscher sagen: Menschen mit wenig Schulbildung glauben öfter an diese Theorien. Menschen mit viel Schulbildung glauben weniger daran.",1,False,False,False,True,False,False,ungefaehr,haeufig,nie,['NaN'],zu_einfach
391890,Autonome Region Kurdistan,"Fällt ein arbeitsfreier Tag auf einen Freitag oder Samstag, dann wird der folgende Werktag als arbeitsfreier Tag deklariert.",https://de.wikipedia.org/wiki?curid=3240627,3240627,1183.9278564453125,105,85,124,18,1462,"Wenn ein Feiertag auf einen Freitag oder Samstag fällt, dann ist der nächste Tag, an dem man normalerweise arbeitet, auch ein freier Tag.","Ein Werktag ist ein Tag an dem man arbeitet. An manchen Tagen muss man nicht arbeiten. Diese Tage nennt man arbeitsfreie Tage. Wenn Freitag oder Samstag ein arbeitsfreier Tag ist, hat man auch am nächsten Werktag frei.",1,False,False,False,True,False,False,ungefaehr,haeufig,nie,['NaN'],zu_einfach
128174,Neandertaler,"Die Gründe für das Aussterben der Neandertaler sind umstritten. Archäologische Belege für kriegerische Handlungen zwischen Neandertalern und anatomisch modernen Menschen gibt es ebenso wenig wie Anzeichen für eine sehr rasche Verdrängung der Neandertaler durch den anatomisch modernen Menschen. Im Gegenteil: Bard et al. (2020) wiesen nach, dass Neandertaler und anatomisch moderner Mensch für etwa 3960 ± 710 Jahre gemeinsam in Europa existierten.",https://de.wikipedia.org/wiki?curid=10869,10869,1720.775146484375,93,105,448,62,1548,"Es ist nicht genau klar, warum die Neandertaler nicht mehr da sind. Es gab keine Kämpfe zwischen den Neandertalern und den Menschen von heute. Die Neandertaler und die Menschen von heute haben viele Jahre zusammen gelebt.","Es ist nicht genau klar, warum die Neandertaler nicht mehr da sind. Die Neandertaler und die Menschen von heute haben viele Jahre zusammen gelebt.",1,True,False,False,False,False,True,ungefaehr,haeufig,nie,['NaN'],zu_einfach
731955,Synchronmaschine,"Die Weiterentwicklung der Synchronmaschine hing stark mit dem Ausbau der elektrischen Energieversorgung im Rahmen der Elektrifizierung und dem Bedarf von immer leistungsstärkeren Generatoren zusammen. Zuerst entstanden Einzelpol- beziehungsweise Schenkelpolmaschinen, da diese geeignet waren, mit den langsamlaufenden Kolbendampfmaschinen als Antriebsmaschine Elektrizität zu erzeugen. Als die Dampfturbinen die Kolbendampfmaschinen ersetzten, kamen die schnelllaufenden walzenförmigen Vollpolläufer zum Einsatz.",https://de.wikipedia.org/wiki?curid=12690,12690,856.4306030273438,5,6,512,55,1580,"Früher gab es große Maschinen, die Strom gemacht haben. Diese Maschinen liefen langsam und passten gut zu großen Dampfmaschinen. Dann wurden neue Schnellere Maschinen gebaut, die mit Dampfturbinen liefen und noch mehr Strom machen konnten.","Früher gab es große Maschinen, die Strom gemacht haben. Diese Maschinen liefen langsam und passten gut zu großen Dampfmaschinen. Dann wurden neue schnellere Maschinen gebaut, die mit Dampfturbinen liefen und noch mehr Strom machen konnten.",1,False,False,False,False,True,False,ungefaehr,haeufig,manchmal,"['Erklaerungen/Definitionen', 'Faktisch_korrekte_Informationen']",zu_einfach
399184,Kleinmachnow,"Der Teltowkanal bildet die Grenze zwischen den Gemeinden Kleinmachnow, Stahnsdorf und Teltow sowie Berlin und Potsdam. Er wird bisher wenig für Naherholung, Freizeit und Wassersport genutzt. Die Interessengemeinschaft Teltowkanalaue strebt die Neuanlage durchgängiger Wander- und Radwege zwischen dem S-Bahnhof Teltow-Stadt und dem Potsdamer S-Bahnhof Griebnitzsee an. Durch die Anlage eines interkommunalen Grünzugs sollen Gemeindegrenzen überwunden und die regionale Zusammenarbeit der drei Gemeinden gestärkt werden. Die Teltowkanalaue ist integraler Bestandteil des räumlich übergreifenden Regionalparks ""TeltowPark"".",https://de.wikipedia.org/wiki?curid=185827,185827,1174.3795166015625,40,33,621,74,1611,"Der Teltowkanal ist ein Wasserweg. Er liegt zwischen Kleinmachnow, Stahnsdorf, Teltow, Berlin und Potsdam. Man kann dort spazieren gehen oder Rad fahren. Die Menschen möchten dort mehr Wege machen, damit alle besser zusammenarbeiten können.","Der Teltowkanal ist eine Grenze zwischen einigen Orten wie Berlin und Potsdam. Er ist nicht sehr beliebt für Ausflüge und Sport. Eine Gruppe möchte dort Wege für Spaziergänge und Radfahren bauen. Diese Wege sollen von einem Bahnhof zum anderen gehen. Sie wollen, dass die Orte besser zusammenarbeiten.",1,True,False,True,True,False,True,ungefaehr,manchmal,selten,['Erklaerungen/Definitionen'],zu_einfach
24080,Breaking Bad,"In einer E-Mail an den Hauptdarsteller brachte Oscar-Preisträger Anthony Hopkins seine Begeisterung für ""Breaking Bad"" zum Ausdruck und lobte Cranstons darstellerische Leistung als die „beste Vorstellung eines Schauspielers, die er jemals gesehen habe“.",https://de.wikipedia.org/wiki?curid=3594967,3594967,2371.55712890625,64,80,253,33,1495,"Anthony Hopkins schrieb eine E-Mail. Er mag die Fernsehserie 'Breaking Bad' sehr. Er findet, dass der Schauspieler Bryan Cranston sehr gut spielt. Er sagt, es sei das Beste, was er je gesehen hat.","Anthony Hopkins schrieb eine E-Mail. Er mag die Fernsehserie 'Breaking Bad' sehr. Er findet, dass der Schauspieler Bryan Cranston sehr gut spielt. Er sagt, der Schauspieler spielt besser als jeder andere.",1,False,True,True,True,False,True,ungefaehr,haeufig,manchmal,"['Erklaerungen/Definitionen', 'Faktisch_korrekte_Informationen']",zu_einfach
276280,Olsenbande,"Die sprachliche Qualität der DEFA-Synchronfassungen gilt als gelungen und trug damit zum Erfolg in der DDR bei. Auch ihre Synchronsprecher stießen auf großes Interesse bei den Fans. So traten die drei Hauptdarsteller Sprogøe, Grunwald und Bundgaard 1982 gemeinsam mit ihren deutschen Sprechern Oppel, Dommisch und Köster in der DDR-Fernsehsendung ""Nacht der Prominenten"" (das Konzept ähnelte ""Stars in der Manege"") auf.",https://de.wikipedia.org/wiki?curid=54203,54203,1355.7484130859375,95,9,419,60,1549,"Die Filme der DEFA wurden von Sprechern mit tollen Stimmen gesprochen. Diese Sprecher waren bei den Fans sehr beliebt. Einmal waren die Schauspieler Sprogøe, Grunwald und Bundgaard mit ihren Sprechern Oppel, Dommisch und Köster im DDR-Fernsehen. Sie waren in einer großen Fernsehshow, die war wie ein Zirkus.","In der DDR gab es Filme. Diese Filme klangen gut, weil die Synchronsprecher sehr gut sprachen. Ein Synchronsprecher spricht die Worte in einem Film in einer anderen Sprache. Viele Menschen mochten die Stimmen der Synchronsprecher. Drei bekannte Schauspieler kamen 1982 mit ihren deutschen Synchronsprechern im DDR-Fernsehen. Sie waren in einer Show, die vielen gefiel.",1,False,True,False,True,False,True,ungefaehr,manchmal,nie,['NaN'],zu_einfach
546477,Strafprozess gegen O. J. Simpson,"Die Staatsanwaltschaft legte keine direkten Beweise für die Schuld des Angeklagten vor. Es fanden sich trotz intensiver Befragung aller Nachbarn keine Augenzeugen für die Tat. Die Ermittler fanden außerdem weder die Tatwaffe noch Simpsons Fingerabdrücke am Tatort. Trotzdem behauptete die Anklage, die Beweislast gegen Simpson sei geradezu erdrückend (""an ocean of evidence""). Um eine Verurteilung zu erreichen, konzentrierte sich die Hauptanklägerin Marcia Clark auf das vorliegende Mordmotiv, Simpsons fehlendes Alibi und die von den Ermittlungsbehörden sichergestellten forensischen Indizien.",https://de.wikipedia.org/wiki?curid=8917976,8917976,1012.2000732421876,22,23,595,78,1601,"Es gab keinen direkten Beweis, dass die Person, die angeklagt war, etwas Schlimmes getan hat. Keiner der Nachbarn hat etwas gesehen. Es gab keine Waffe und keine Fingerabdrücke von der Person am Ort, wo es passiert ist. Trotzdem sagte die Anwältin, es gibt viele Beweise, dass die Person schuldig ist. Die Anwältin hat versucht zu zeigen, dass die Person keinen guten Grund hatte, nicht am Ort zu sein, als es passierte.","Die Person wurde angeklagt, weil sie angeblich etwas Böses getan hat. Aber es gibt keine Beweise dafür. Kein Nachbar hat etwas gesehen. Es gab keine Waffe oder Fingerabdrücke von Simpson am Tatort. Trotzdem sagen Leute, dass er schuld ist. Niemand kann sagen, wo Simpson damals war. Deswegen wollen sie, dass er verurteilt wird.“",1,False,False,False,True,False,False,ungefaehr,manchmal,selten,['Erklaerungen/Definitionen'],zu_einfach
170375,Frank Zappa,"In ihrer Autobiografie schildert Jefferson-Airplane-Sängerin Grace Slick, dass Zappa sich über die ganze Gegenkultur „unverblümt lustig“ gemacht habe, „die er ja doch mit am Laufen hielt“. Zappa-Biograf Barry Miles schlussfolgert, Zappa sei nie ein Hippie gewesen, eher ein später Beatnik – ein Einzelgänger und ein „Mitreisender, der auf einem parallelen Kurs unterwegs war: alleine“.",https://de.wikipedia.org/wiki?curid=37382,37382,1582.4744873046875,97,76,385,54,1541,"Grace Slick, eine Sängerin, hat in einem Buch über Zappa geschrieben. Sie sagt, Zappa hat über viele Menschen Witze gemacht. Er fand die Hippies nicht gut. Aber er hat auch dazu gehört.","Grace Slick, eine Sängerin, hat über Zappa geschrieben. Sie sagt, Zappa hat sich über die Hippies lustig gemacht. Er war kein Hippie. Er war anders und alleine.",1,False,False,True,False,False,True,ungefaehr,manchmal,manchmal,"['Erklaerungen/Definitionen', 'Faktisch_korrekte_Informationen']",zu_einfach
